
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
613,"Hounslow West                      "," ",5015,3848,3111,4601,3626,2960,3.18
614,"Hyde Park Corner                   "," ",8184,8405,7099,8887,8891,7325,6.07
615,"Ickenham                           "," ",1672,849,442,1653,838,464,0.98
616,"Kennington                         "," ",7120,6023,3877,6579,5468,3786,4.52
617,"Kensal Green                       "," ",3924,2899,1973,3292,2361,1756,2.32
618,"Kensington (Olympia)               "," ",1433,6099,3535,1403,5527,3512,1.74
619,"Kentish Town                       "," ",12078,7821,4389,11532,6696,3855,7.21
620,"Kenton                             "," ",3192,2179,1307,3011,2013,1316,1.94
621,"Kew Gardens                        "," ",5015,4172,2556,4616,3393,2551,3.13
622,"Kilburn                            "," ",11954,8841,6180,11472,7979,6024,7.52
623,"Kilburn Park                       "," ",5331,4526,3111,5130,4163,2945,3.46
625,"King's Cross St. Pancras           "," ",116766,94473,74618,116203,90893,69961,77.11
624,"Kingsbury                          "," ",5822,3186,2281,5506,2897,2122,3.44
626,"Knightsbridge                      "," ",29626,33458,22591,29001,31720,19398,20.70
627,"Ladbroke Grove                     "," ",8405,7607,3608,7722,4748,2609,5.09
628,"Lambeth North                      "," ",5494,4551,3302,5034,4370,2973,3.50
629,"Lancaster Gate                     "," ",10308,8195,6493,9842,7853,6136,6.68
630,"Latimer Road                       "," ",2878,1607,956,2800,1450,861,1.70
631,"Leicester Square                   "," ",53002,67564,37470,54956,68479,36972,38.78
632,"Leyton                             "," ",20552,17779,12078,19477,16050,11701,13.29
633,"Leytonstone                        "," ",16496,12726,8520,15883,11624,8340,10.45
634,"Liverpool Street                   "," ",104252,50855,41623,107346,50869,40095,63.65
635,"London Bridge                      "," ",103067,78259,50067,101013,74978,48979,65.44
636,"Loughton                           "," ",4851,3125,1585,5000,3014,1603,3.00
637,"Maida Vale                         "," ",4961,3564,2373,4448,2988,2251,2.99
638,"Manor House                        "," ",14602,11643,8681,13471,9916,8107,9.21
639,"Mansion House                      "," ",13164,4243,2862,13204,3840,2643,7.42
640,"Marble Arch                        "," ",25632,25303,18234,23325,22376,15794,16.87
641,"Marylebone                         "," ",18528,11320,6492,18849,11315,6519,11.40
642,"Mile End                           "," ",22712,17821,11668,20564,15145,11243,14.01
643,"Mill Hill East                     ","A",1642,984,600,1930,1147,684,1.09
646,"Moor Park                          "," ",1481,567,317,1395,560,331,0.82
645,"Moorgate                           "," ",39161,5869,3617,40454,6338,4009,21.23
647,"Morden                             "," ",11917,7702,5264,11065,7068,5119,7.20
648,"Mornington Crescent                "," ",6714,3897,10568,5889,3222,2032,4.30
649,"Neasden                            "," ",4645,2612,1812,4159,2466,1747,2.70
650,"Newbury Park                       "," ",7100,4691,3154,5242,3980,2693,3.92
653,"North Acton                        "," ",7817,4421,3127,7388,4023,2902,4.64
654,"North Ealing                       "," ",1638,959,582,1417,891,567,0.94
789,"North Greenwich                    "," ",23982,18661,12982,23714,19708,14790,15.70
656,"North Harrow                       "," ",2561,1123,602,2347,1021,589,1.42
659,"North Wembley                      "," ",2593,1768,1158,2407,1578,1107,1.57
655,"Northfields                        "," ",6220,3880,2668,5969,3561,2731,3.79
657,"Northolt                           "," ",6887,5032,3367,6540,4544,3142,4.28
660,"Northwick Park                     "," ",6237,2624,1687,6116,2295,1650,3.58
661,"Northwood                          "," ",3603,1700,994,3064,1531,987,1.97
662,"Northwood Hills                    "," ",2319,1175,681,2042,1026,615,1.29
663,"Notting Hill Gate                  "," ",24366,28983,14902,24034,33670,16493,17.36
664,"Oakwood                            "," ",4288,3483,2317,4098,3193,2295,2.74
665,"Old Street                         "," ",35386,17466,11183,34941,20052,10780,21.04
667,"Osterley                           "," ",3438,2524,1791,3283,2160,1630,2.15
668,"Oval                               "," ",9391,7368,4899,8799,5892,4501,5.85
669,"Oxford Circus                      "," ",116093,86318,51752,125422,100972,54187,77.09
670,"Paddington                         "," ",72384,49513,42096,72565,48754,37510,46.48
671,"Park Royal                         "," ",2508,1621,1009,2595,1707,1006,1.58
672,"Parsons Green                      "," ",10193,5898,3542,9459,5086,3267,5.94
673,"Perivale                           "," ",3431,2282,1450,3240,2055,1389,2.08
674,"Piccadilly Circus                  "," ",57401,64038,39622,58128,67382,37003,40.58
776,"Pimlico                            "," ",14635,8465,6267,13805,7973,6249,8.79
675,"Pinner                             "," ",3998,1975,1015,3857,1819,1001,2.30
676,"Plaistow                           "," ",10177,7245,4642,9855,6606,4743,6.34
677,"Preston Road                       "," ",5021,2887,1858,4717,2589,1736,2.96
678,"Putney Bridge                      "," ",8063,5598,4161,8669,5673,4525,5.33
680,"Queen's Park                       "," ",9283,6206,4161,8381,5065,3878,5.53
679,"Queensbury                         "," ",5245,2758,1981,5291,2678,1873,3.18
681,"Queensway                          "," ",12979,11882,9198,12953,11821,8866,8.86
682,"Ravenscourt Park                   "," ",4477,2393,1658,4264,2221,1672,2.65
683,"Rayners Lane                       "," ",6629,3811,2497,6421,3621,2446,3.98
684,"Redbridge                          "," ",4286,3227,2234,3868,2866,2059,2.63
685,"Regent's Park                      "," ",5625,3553,2402,6418,4433,2946,3.78
686,"Richmond                           ","A",11184,10436,5428,11586,9995,5600,7.47
687,"Rickmansworth                      "," ",3871,1478,776,3216,1389,697,2.03
688,"Roding Valley                      ","A",439,173,87,326,149,83,0.22
690,"Royal Oak                          "," ",3541,1532,1142,3415,1441,1084,2.05
691,"Ruislip                            "," ",2527,1643,912,2587,1657,912,1.57
692,"Ruislip Gardens                    "," ",1746,1161,659,1481,953,628,1.00
693,"Ruislip Manor                      "," ",2786,1383,712,2660,1287,696,1.60
694,"Russell Square                     "," ",22464,17519,13128,22583,17577,12405,14.73
698,"Seven Sisters                      "," ",20618,14734,10620,18468,12819,9823,12.53
700,"Shepherd's Bush (Cen)              "," ",33237,31472,20489,30259,29381,19607,21.59
775,"Shepherd's Bush (H&C)              "," ",4943,3387,2091,4669,2885,2005,3.00
702,"Sloane Square                      "," ",24156,16393,9668,23811,16077,9249,14.94
703,"Snaresbrook                        "," ",4882,2462,1495,3737,2254,1422,2.60
704,"South Ealing                       "," ",5314,3786,2421,5212,3461,2399,3.32
707,"South Harrow                       "," ",3589,2476,1680,3618,2503,1665,2.28
708,"South Kensington                   "," ",46123,38493,27885,45879,39813,27369,30.61
709,"South Kenton                       ","A",1667,966,544,1475,872,598,0.96
710,"South Ruislip                      "," ",2935,1987,1244,2664,1808,1180,1.76
711,"South Wimbledon                    "," ",6288,4139,2661,5610,3999,2714,3.75
712,"South Woodford                     "," ",6399,4111,2613,7770,5051,3028,4.39
705,"Southfields                        "," ",9046,5947,3540,7936,4788,3279,5.26
706,"Southgate                          "," ",7815,5411,3320,7840,5222,3434,4.91
784,"Southwark                          "," ",19234,7364,4532,19284,7669,4624,11.07
695,"St. James's Park                   "," ",23888,5893,4089,25029,6086,4345,13.50
696,"St. John's Wood                    "," ",10708,6797,4869,10887,6699,4900,6.74
697,"St. Paul's                         "," ",28452,15173,10776,28264,14137,9753,17.08
713,"Stamford Brook                     "," ",4297,2575,1560,3987,2159,1500,2.52
714,"Stanmore                           "," ",4841,2964,2130,4903,2873,2150,3.02
715,"Stepney Green                      "," ",7691,3954,2981,6814,3244,2674,4.38
716,"Stockwell                          "," ",14805,10085,6986,11214,8428,6341,8.33
717,"Stonebridge Park                   "," ",4232,2599,1607,4214,2487,1603,2.59
